Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;10/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;11/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;12/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;13/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;15/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;16/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;17/09/23;192,6000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;18/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;19/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;20/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;22/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;23/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;24/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;25/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;26/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;27/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;28/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;29/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30040;TR30200;30/09/23;288,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;30051;TR30200;01/10/22;157,5000
22/23;TADLA;Beni Mellal;ORA;ORA4;30051;TR30200;02/10/22;157,5000
22/23;TADLA;Beni Mellal;ORA;ORA4;30051;TR30200;03/10/22;157,5000
22/23;TADLA;Beni Mellal;ORA;ORA4;30051;TR30200;04/10/22;157,5000
